Data,population,TN,FP,N,FN,TP,P,PositiveTest,NegativeTest,TPR,PPV,Acc
tcoresults,259,125,5,130,84,45,129,50,209,0.3488372093023256,0.9,0.6563706563706564
tcoresultsNoDups,259,125,5,130,87,42,129,47,212,0.32558139534883723,0.8936170212765957,0.6447876447876448
tcoresults All,259,130,0,130,115,14,129,14,245,0.10852713178294573,1.0,0.555984555984556
tcoresults AllNoDups,259,130,0,130,119,10,129,10,249,0.07751937984496124,1.0,0.5405405405405406
bionicresults,844,783,0,783,59,2,61,2,842,0.03278688524590164,1.0,0.9300947867298578
bionicresultsNoDups,844,783,0,783,59,2,61,2,842,0.03278688524590164,1.0,0.9300947867298578
bionicresults All,844,781,2,783,61,0,61,2,842,0.0,0.0,0.9253554502369669
