Data,population,TN,FP,N,FN,TP,P,PositiveTest,NegativeTest,TPR,PPV,Acc
tcoresults,259,130,0,130,72,57,129,57,202,0.4418604651162791,1.0,0.722007722007722
tcoresultsNoDups,259,130,0,130,76,53,129,53,206,0.4108527131782946,1.0,0.7065637065637066
tcoresults All,259,130,0,130,114,15,129,15,244,0.11627906976744186,1.0,0.5598455598455598
tcoresults AllNoDups,259,130,0,130,123,6,129,6,253,0.046511627906976744,1.0,0.525096525096525
bionicresultsNoDups,844,783,0,783,60,1,61,1,843,0.01639344262295082,1.0,0.9289099526066351
